Number of Influenza Associated Pediatric Deaths by Week of Death (data downloaded on 3/8/2019),,,,,,
SEASON,WEEK NUMBER,NO. OF DEATHS ,PREVIOUS WEEK DEATHS,CURRENT WEEK DEATHS,NewColumn,CURRENTDETAHS
2015-16,2015_40,0,0,0,201540,0
2015-16,2015-41,0,0,0,201541,0
2015-16,2015-42,0,0,0,201542,0
2015-16,2015-43,0,0,0,201543,0
2015-16,2015-44,2,2,0,201544,0
2015-16,2015-45,0,0,0,201545,0
2015-16,2015-46,0,0,0,201546,0
2015-16,2015-47,0,0,0,201547,0
2015-16,2015-48,2,2,0,201548,0
2015-16,2015-49,1,1,0,201549,0
2015-16,2015-50,1,1,0,201550,0
2015-16,2015-51,1,1,0,201551,0
2015-16,2015-52,1,1,0,201552,0
2015-16,2016-01,0,0,0,201601,0
2015-16,2016-02,2,2,0,201602,0
2015-16,2016-03,0,0,0,201603,0
2015-16,2016-04,3,3,0,201604,0
2015-16,2016-05,1,1,0,201605,0
2015-16,2016-06,2,2,0,201606,0
2015-16,2016-07,5,5,0,201607,0
2015-16,2016-08,8,8,0,201608,0
2015-16,2016-09,6,6,0,201609,0
2015-16,2016-10,4,4,0,201610,0
2015-16,2016-11,9,9,0,201611,0
2015-16,2016-12,8,8,0,201612,0
2015-16,2016-13,11,11,0,201613,0
2015-16,2016-14,9,9,0,201614,0
2015-16,2016-15,4,4,0,201615,0
2015-16,2016-16,1,1,0,201616,0
2015-16,2016-17,2,2,0,201617,0
2015-16,2016-18,1,1,0,201618,0
2015-16,2016-19,3,3,0,201619,0
2015-16,2016-20,0,0,0,201620,0
2015-16,2016-21,2,2,0,201621,0
2015-16,2016-22,1,1,0,201622,0
2015-16,2016-23,1,1,0,201623,0
2015-16,2016-24,0,0,0,201624,0
2015-16,2016-25,1,1,0,201625,0
2015-16,2016-26,0,0,0,201626,0
2015-16,2016-27,1,1,0,201627,0
2015-16,2016-28,1,1,0,201628,0
2015-16,2016-29,0,0,0,201629,0
2015-16,2016-30,0,0,0,201630,0
2015-16,2016-31,0,0,0,201631,0
2015-16,2016-32,0,0,0,201632,0
2015-16,2016-33,0,0,0,201633,0
2015-16,2016-34,0,0,0,201634,0
2015-16,2016-35,0,0,0,201635,0
2015-16,2016-36,0,0,0,201636,0
2015-16,2016-37,0,0,0,201637,0
2015-16,2016-38,0,0,0,201638,0
2015-16,2016-39,0,0,0,201639,0
2016-17,2016-40,0,0,0,201640,0
2016-17,2016-41,0,0,0,201641,0
2016-17,2016-42,0,0,0,201642,0
2016-17,2016-43,0,0,0,201643,0
2016-17,2016-44,0,0,0,201644,0
2016-17,2016-45,0,0,0,201645,0
2016-17,2016-46,0,0,0,201646,0
2016-17,2016-47,0,0,0,201647,0
2016-17,2016-48,1,1,0,201648,0
2016-17,2016-49,1,1,0,201649,0
2016-17,2016-50,1,1,0,201650,0
2016-17,2016-51,4,4,0,201651,0
2016-17,2016-52,1,1,0,201652,0
2016-17,2017-01,5,5,0,201701,0
2016-17,2017-02,4,4,0,201702,0
