Name,G
$10-$30,1
$2.5,1
$36.4,1
"$50,000",1
$500,1
"$750,000.  ",1
$83,1
$9.1,1
&,37
''(it),1
''(we,2
"''60,",1
"''absolutely,",1
''alexand,1
''am,1
''amir,1
''anybodi,1
''beautifully.'',1
''becaus,4
''been,1
''behind,1
''bi,1
''bo,1
''bob-bi,2
''bruce'',2
''bubbl,1
''cat'',8
"''certainly,",2
''christma,1
''clemson,1
''coach,18
''colleg,1
''consist,1
''coonie'',1
''denzel,1
''dez,1
''did,1
''disappoint,2
''down,2
''each,2
''emot,2
''especi,3
''ever,3
''everybodi,10
''everyon,3
''first,2
''florida,1
''given,1
''good,2
''greenwood,1
''guard,1
''guy,3
''hanner,1
''hi,4
''hope,4
"''huge,''",1
''in,12
"''isaiah,",1
''it,97
''it',121
''jarvi,1
''jekyll-and-hyde'',1
''junkyard,1
''kind,1
''knock,1
''kourtney,1
''late,1
''lb,1
"''listen,",1
''lock,1
''look,2
''maestro'',1
''mayb,1
"''maybe,",1
''moody',1
''mvp'',1
''no,5
"''obviously,",7
''on,4
''onc,6
''other,2
''out,1
''person,1
''piggy'',1
''possess,1
''possessed.'',1
''ray,1
''realli,2
"''really,",1
''robert,1
''ross,1
"''ryan,",1
''safeti,1
''she',1
''shot,1
''size,1
"''somehow,''",1
''stanford,1
''stay,1
''tark,1
''tashawn',1
''that's',1
''their,6
''then,2
''these,6
''to,9
"''tonight,",1
''unacceptable'',2
''we'd,1
''we'v,57
"''well,",1
''when,41
''which,2
''wichita,1
''will,1
''wish,1
''ymca'',2
"'03,",1
'13.,1
'49.,1
'50,5
'60s.,1
"'96,",1
'it,1
'they'v,1
"'tweener,",1
"(.576),",1
(0-1,1
(0:43),1
(0:46),1
(1,1
(1-10),1
"(1-10,",1
"(1.085),",1
(1.3),1
(1.41).,2
(1.9),1
(10,2
(10-0,1
(10-1),1
"(10-10,",6
(10-12).,1
"(10-13,",8
(10-16),1
"(10-16,",6
"(10-19,",1
(10-22),1
(10-3).,1
(10-4),2
"(10-4,",6
"(10-5),",1
(10.6),1
(11),1
(11-0),3
"(11-1),",1
"(11-12,",9
"(11-15,",4
(11-18),1
"(11-18,",2
"(11-19),",2
(11-2).,1
(11-21),2
"(11-3,",6
(11-6),1
"(11-9,",5
(118,1
(12-1).,2
"(12-11,",9
(12-13).,1
"(12-14,",10
"(12-17,",2
(12-2),1
(12-20),1
"(12-20,",1
"(12-21),",1
(12-4).,1
"(12-5,",2
(12.4),1
(12.7),1
(124).,1
(13,2
(13-0).,1
(13-1),1
"(13-1,",1
"(13-10,",14
"(13-13,",7
"(13-16,",3
(13-19),1
"(13-7,",3
(13.0),1
(13.3),1
(13.9),1
(132.7),1
"(135),",1
(137.8),1
(14),2
"(14-12,",5
"(14-15,",3
(14-17).,1
(14-18),3
"(14-19),",1
"(14-4),",1
"(14-6,",4
(14-8).,1
"(14-9,",11
"(14.3),",2
(143),1
(15-11),1
"(15-11,",8
"(15-14,",3
(15-16).,1
(15-17),2
"(15-18),",1
"(15-2,",1
"(15-5,",3
"(15-8,",12
(15.4),1
"(15.5),",1
(15.6,2
(15.6).,1
"(15.8 ppg),",1
(16,4
(16).,1
"(16-10,",9
"(16-13,",3
"(16-14),",1
(16-15).,1
(16-16),2
"(16-16,",2
(16-4),2
"(16-4,",7
"(16-5),",1
(16-7),1
"(16-7,",7
(16-72).,1
(16.5,2
(16.8,1
(16.8).,1
(17),1
"(17-12,",3
(17-14).,1
(17-15),2
"(17-3,",4
"(17-6,",6
"(17-9,",10
(17.4,1
(17.7,1
(18-11),1
"(18-11,",9
(18-13).,1
"(18-15),",3
(18-2),1
"(18-2,",2
"(18-5,",10
(18-8),2
"(18-8,",13
(18.9,1
(19,5
(19-1),2
"(19-10,",5
(19-13),3
"(19-13,",2
(19-4),1
"(19-4,",3
(19-7),1
"(19-7,",3
(19.9),1
(1982-85),1
(1985-88),1
"(1991,",1
"(1994-97),",1
(1:27),1
(2),2
(2-11).,1
(2-12),1
"(2-21,",1
(2-8,1
(2.1,1
(2.5),1
(20),2
(20-11).,1
(20-12),1
"(20-12,",1
"(20-13),",2
(20-3),1
"(20-3,",3
"(20-6,",5
"(20-9,",8
"(2000-02),",1
(2000-04),1
(2006-07),1
"(21),",1
(21-11),3
"(21-2,",9
"(21-5,",4
"(21-8,",7
(22,10
"(22-1,",1
(22-10),6
"(22-11),",1
"(22-4,",3
"(22-7,",3
"(22-9, rpi:",3
(23),2
"(23-10),",4
(23-3),1
"(23-3,",5
(23-6),2
"(23-6,",7
(23-9),3
(23.7,1
"(24-2,",4
"(24-5,",2
(24-8),6
(25,7
(25-7),4
"(25-8),",2
(25th)seed:,1
(26),1
"(26-3,",1
(26-6),1
(26-9),1
(27.6,1
(28,4
"(28-1,",2
(28-4),1
(28-for-38),1
(28.8,1
(29-3),3
(29.8),1
(3-1).,1
(3-10,1
(3-10).,1
"(3-11,",1
(3-13).,1
(3-14),1
"(3-23,",1
"(3-6),",1
(3-7).,2
(3-8),1
"(3-8,",1
(30-2),1
(31,3
(31.5,1
(32),2
(32.1,1
(33.3,3
(34,1
(34.2,1
(34.5,1
(34.8,1
(35.7,2
"(36),",1
(37,4
(37.5,1
(39.7),1
(4,1
(4-10),1
"(4-10,",2
"(4-11),",1
"(4-26),",1
(4-9,1
(40,1
(42.9,1
"(45),",1
(45.3,1
(46,1
(47.1,1
(47.7,1
(49,1
(5),1
(5-0),1
"(5-15,",1
"(5-18,",4
"(5-21,",4
"(5-24,",1
(5-3),1
(5-6),1
"(5-6,",2
"(5-7),",1
(5-8).,2
(5-9),1
"(5-9,",2
"(5.3),",1
(51.7),1
(51st)seed:,1
(53.1,3
(54.1),1
(55,2
(55.2,1
(55.8,1
"(6-11,",1
"(6-14,",1
"(6-17,",1
"(6-20,",5
