Name,G
$3,2
$500,1
''channel',1
''florida,1
''he',3
''i'v,2
''jon,1
''person,1
''that',5
''they,6
''tonight,1
''when,1
'13-14,1
'14-15,1
'18-19,1
'21-22,1
'22-23,1
'50s.,1
'60,1
'f---,1
'wisconsin.',1
(1.7).,1
(10-2),1
(10.1,1
(10.6),1
(102.4).,1
"(11-10,",4
"(12,735",1
"(12-4,",1
"(13-9,",1
(13.0),1
(14),2
"(14-7,",2
"(15-5,",1
(16,1
"(16-3,",2
(16.3,1
(19-54),1
(19.9),1
(2-for-12,1
(2012-13),1
"(23.9),",1
(25.6,1
(27-47).,1
(28-for-38),1
(3),1
(3-8),1
(3.0,1
(31.1,1
(315,1
(34-62),1
(45-44).,1
(46.6,1
(467),1
(49),1
(5,1
(5-9).,1
(55.2,1
(59.8,1
"(6-8,",4
(6.6),1
"(7-11,",1
(7-5).,1
"(7-6),",1
"(7-6,",1
"(7-for-12),",1
(72,1
(79,1
"(8-12,",1
"(8-4),",1
"(8-4,",2
(8.4,1
(abl,1
(about),1
(allen),1
(and,10
(check,1
(czech,2
"(first,",1
(five,1
(game),1
(greece),4
"(i.e.,",1
(in,5
(it’,1
"(leonard),",1
(list,1
(mi,2
(nash),1
(neutral,1
(nr),2
(plus-11.7). ,1
(plus-227),1
(probabl,1
(ron),1
(san,3
(serbia) ,1
(shot,1
(stuff),1
(take,1
(the,11
(ti,4
(timberwolv,1
(toronto),2
(turkey),12
(were),1
--,220
-- a,2
-- it’,1
-- that,1
-- wa,1
.,5
.412,1
.435                ,1
.532                ,1
.605                ,1
0-2,2
0-7),1
0-for-6,1
"04-07,",1
"06,",1
"07-10,",4
1).,1
"1,000.",1
"1,031",1
"1,800-seat",1
1-0,4
1-of-7,1
1...,1
1.4,1
1.62,1
10-13,1
10-4,3
10-5.,1
10-of-15,1
10.,11
10.1,2
100-65,1
102-101,2
102-74,1
102-95,2
106-103.,1
10:01,1
10th straight,1
11-2,1
11.6,1
112,3
112-110,1
113-106,1
114-102,1
114-109,3
114.6,2
117-111,1
119-70.,1
11:23,1
11:37,1
11:44,1
11:58,1
12-0,4
12-15,1
12.4,1
120.8,1
124-111,2
12:10,1
12:24,2
12:45,1
12:52,1
12:59,1
"13),",1
"13,",10
"13-for-20,",1
13.2,1
130-122,1
135-102,1
135-130,2
14-for-20,1
14.0,2
14.7,1
14th,3
15.5,1
15       ,2
16,69
16-6,1
"16-rebound,",1
16th-rank,1
17-13,1
17.,6
17.1,1
17.8,2
17       ,6
18.0.,1
18.6,2
182,1
19.4,2
190-pound,1
"1951,",1
"1961-62,",1
"1965,",1
1976.,1
1980s.,1
1983.,1
"1986,",1
1989,2
1990.,2
"1993,",1
1996,19
1997.,3
19       ,1
1:03,2
1:10,1
1:38,2
1:45,1
1:52,1
1: lebron,1
"2),",1
"2,",16
2-1).,1
2-5,1
2-of-13,1
2-of-9,1
2.2,1
"20,",3
20-5,1
20-home-run,1
20-of-24,1
20.9,1
"2000,",1
2003,3
2004-11,1
2006-2007,1
"2007,",1
2010,3
2010-januari,1
2011.,5
2012-13).,1
"2014,",9
2017,136
2018.,2
2018. ,1
20s.,1
20th-rank,1
21),1
21-10,1
21-3,1
21.0,1
21.7,1
"215--65,",1
22-11,1
22.5,2
23,41
23.3,1
24.,4
24.8,1
240-pound,1
244.5,1
245,3
25-21,1
26-0,1
26-8.,1
"27,",8
27-game,1
27.2,1
28-10,1
280,1
28th,2
29-25,1
29-53,1
29-year-old,1
29.5,1
299th,1
2:,1
2:25,2
3),1
"3,058",1
"3,100",1
"3,289",1
"3-0,",1
3-3,1
3-point,77
3.0,1
3.7,1
30,30
30-26,1
30-point,2
31-of-53,1
"31-point,",1
31.,1
31.1,1
31.8,1
32-year-old,3
32.6,1
32nd,1
33.4,1
34-23,1
34-all,1
343,4
35),1
35-24,1
350,1
35th,3
36-25,1
36.5,1
37,12
38.1,1
3:12,1
"3:30,",1
3:40,1
"3s,",7
4-1,3
4-2.,2
"4-5),",1
4.5,2
4. ,1
"40-22,",1
40-36,1
