word,count
$1.36,2
$10,7
$101,3
$120.7,1
$122,1
$133.9,1
$148.7,1
$150,3
$171,1
$2.5,1
$207.1,1
$207m,1
$23.5,1
$24,12
$3,11
$3.3,2
$30.5,1
$31,2
$38,1
$4.2m,1
$4.328,1
$4.8,1
$40+,1
$45,2
$46.8,1
"$5,000",1
$500,4
$52,1
$6.4,2
$80,6
$850,1
$87,1
$88.8,1
$89.184,1
$94,2
$94.3,1
''channel',1
''hank',1
''he',5
''i'v,2
''integr,2
''let',2
''origin,1
''pretti,1
''recov,1
''that',3
''they,3
''we'll,1
''when,2
'07).,1
"'07-08,",1
"'08-09,",2
'10-11,1
"'10-11,",1
"'11-12,",1
'12-13,1
'13-14,1
'14-15,3
'15-16,2
"'17-18,",1
'18,2
'18-19,1
'21-22,1
'22-23,1
'53,1
"'bron,''",1
'don't,2
'go,1
'he,1
"'lavar,",1
'no,2
"'overstated.' ultimately,",1
'uh-oh!,1
'we’r,1
"'wow,",1
($10,1
($2.5,2
($3.3,1
($80,1
(+1.4).,1
(-5.8,1
(.433,1
(.444).,1
(.543),1
(0.94),1
"(1,575,865)",1
"(1,983). ",1
"(1.1),",1
(1.48,1
"(10,335)",2
(10.8,1
"(101.7,",1
(101.8),1
(102.4).,1
(103.2).,1
"(103.3),",1
"(107.2,",1
(107.6,1
(112,1
"(12,735",1
(129).,2
"(13),",2
(13.9,2
(133,1
(14),8
(14.7,1
(140,1
(145),1
(14th,1
(15)netrtg:,2
(154,1
(157). ,1
(16,2
(16);,1
"(16,251),",1
(164-34).,1
(17.1,1
"(17.7),",1
(18.6,3
(184-12).,1
(196,2
"(1970-1982),",1
"(1976-1980),",1
(1979-80).,1
(1991-92).,2
(1992-93).,1
(1994).,1
"(1999-2002,",1
(1st),1
"(2),",1
(2-3),1
(2-for-6,1
(2.68).,1
(2.9,1
(20.2,1
"(2000,",1
"(2000-2003,",1
(2001-02),1
(2007-08),2
(2008),2
"(2008-10),",1
"(2010-13),",1
(2012-13),1
"(2013-16),",3
(2015),4
(2015-16),1
"(2016),",2
(2016-17),3
(2017-18),3
(2024,1
(20th),1
(20th).,1
(21),8
(210-55).,1
(217,1
(224,2
(23,3
(23.1),2
(23.3,1
"(23.9),",2
(25-25),1
(25.4).,1
(28),8
"(29-22),",1
"(29-points,",1
(29.5,1
(3),9
(3-1),4
(3.0,1
(3.5),1
(30,1
(31.1,1
(315,1
(34.9,1
(35),2
(35.0,1
(362),1
(37,2
(37.3,2
(38.1,2
(39-7),1
(4-for-16,1
(4.5,1
(42),3
(42.0,1
(42.7,1
(467),1
(47-46).,1
(47.4,1
(476,1
(48-34),4
(49),1
(4th)offrtg:,1
(5,3
(5);,5
(51,1
(51.0%,1
(53-18),1
(53-of-137),1
(55-27).,2
(55.2,1
(55.9,1
(55/101),1
(56.0,1
(56th,1
(57.3).,2
(58,1
(584).,1
(59.8,1
"(6-8,",2
(6.1,1
(6.8,1
"(616,730)",1
(63.0,1
"(640,928).",1
(7)defrtg:,1
(7-foot-3,1
"(7-for-12),",1
(77),1
(79,1
(7:30,4
"(9,607),",1
"(9.6),",1
(93,3
(abl,1
(about),1
(acquir,2
"(aldridge,",1
(allen),1
(alongsid,1
"(ames,",1
"(amy),",1
(and,56
"(antetokounmpo,",1
(assist,2
(atl),16
(auburn),1
(bahamas),2
(between,1
"(bleep),",1
(boston,6
(brook,1
(bucks),2
(calf,1
(career-high,2
"(cavaliers),",1
(check,1
(chi),15
(chri,3
(clippers),1
(compar,5
(curri,1
(czech,2
(dalla,2
(david,1
"(defense,",1
(demarcu,1
(details),1
(doncic),1
(don’t,2
"(draft),",6
(durant,1
(dure,1
(eight,1
(espn),10
"(first,",2
(five,5
(fractur,1
(francophon,1
(fresno,1
"(frontcourt),",2
(fta/fga),1
(game),1
(gasol),1
(gasol).,1
(georgia),1
(germany)arnolda,1
(grab,1
(greece),8
"(guard),",1
