$1.25,1
$1.3,3
"$12,500",1
$12.9,1
$125,1
$139,1
$153,1
$160,2
"$2,750",1
$2.1,2
$2.8,2
$20,9
$20.7,1
$23.8,4
"$25,000",11
$27,1
$3.6,2
$3.76,1
$300,7
$34,1
$37.1,1
$37.8,2
$377,1
$4.4,4
$48,4
$5.2,2
"$500,000",1
$6,1
$6.7,1
$62,1
$650,1
$70.5,2
$8.3,1
$8.406,1
$90,1
''for,1
''from,1
''just,1
''last,1
"''like,",1
''miss,1
''remain,1
'06.,2
'14,1
"'16,",1
'96).,2
'I,6
'awful',2
'dad,1
'definit,1
'frustrating',1
"'hoods,",1
'oh,1
'player,1
'remain,1
'some,1
'take,1
"'um,",1
'we,2
'we'v,1
($13.7,2
(+6.7,1
(.369),1
(.429,1
(.442).,2
(.478,1
(.492,1
(.537),1
(.600),1
(.666).,1
"(.919),",1
"(0.8),",1
(1,5
(1)netrtg:,1
"(1,221),",1
"(1,944",1
(1-14),3
(1.0,1
(1.05),1
"(1.10),",1
(1.26),1
(1.7,1
(10.4,1
(10.7),1
(101.0,1
(102.24),1
"(108.5),",1
(11.2,1
(11/25). ,2
(12,5
(134).,1
(136,1
(14);,1
"(14,",1
(14-2),1
(15),12
(15.1,1
(15.8,2
(16.3);,1
(17).,1
(17.4,1
(171,1
"(18),",1
"(18,493).",2
(19,2
"(19.8),",1
(192,1
(1960-61),2
(1961-62,2
(1963-64),2
(1970-71,2
(1972-73),1
(1979-80,2
(1981),1
(1984-85,2
(1985).,1
(1992).,1
(1992-2003).,1
"(1993),",1
"(1999-2003,",1
(19th,1
"(2,165)",1
(2-4),1
(2.03,1
(2.1),1
(2.76),1
(20.5,2
"(2005-06,",1
(2005-07),2
(2006,1
"(2008,",1
(2009),2
"(2012-13),",3
(2013).,1
"(2013-14),",1
"(2014),",2
"(2015,",2
"(2015-16),",4
(2016),2
(22),8
(22.4),1
(26,6
(26.7,1
(26th,1
(28.3,1
(29),8
(29.8,1
"(294-230,",1
(29th)netrtg:,1
(3);,2
"(3,801).",1
(3-2),3
(3.00),2
"(31,038),",1
"(32),",4
(33,2
(33.7,1
(35.3,1
(351).,1
(37.6,1
(37.9). ,1
"(385,448)",1
(4),9
(4-0),3
(4.4),1
(40,5
(41.5,1
(43),1
(45.7),1
(45/17/5/5).  ,1
(47.7,1
(49.2). ,1
(4th)netrtg:,1
(5.2),2
(500,2
"(53),",1
(55.5,1
(56.3,1
"(6-9,",1
(6-foot-8),1
(68,1
"(7),",1
"(7-0,",1
(7-foot-6),1
(7.2,1
(75,1
"(76ers),",1
(79). ,1
(8,28
"(8,708)",1
(8.0,1
(82,1
(9-12,1
(9.5,1
(9.8),1
(95.9).,1
(96,2
(97.8),1
(alexand,1
(also:,1
(ankl,1
(anniversary,2
(anthoni,1
(ap),110
(arizona),3
(arkansas),1
(at,7
(beal,1
(becaus,3
(better).,1
(beverley's),1
"(bird,",1
(bleeping),6
"(bookmakers,",1
(bos),12
(boston).,1
(bucknell),1
(bwb),1
"(bynum,",1
