$1,1
$1.5,2
"$36,000",1
"$433,748.",1
"$50,000",1
$7.54,1
$8,2
'coach,1
"'gosh,",1
'let',2
(11),2
"(12),",1
(14,3
"(17.6),",1
(18),1
(19-16),1
(19.1).,1
(1981-85),1
(2000).,1
(2005),1
(208,1
"(23,133)",1
(27-7),1
(28-5),1
"(29-6),",1
(2ot),1
"(30-4),",1
"(31,419",1
(32-4),1
(35,1
(35-39),1
"(38-37),",1
(41.7,1
(44-27),2
"(46-31),",1
"(51-23),",1
(53),1
(57-19),1
"(6,989",1
(77-71,1
(booker),1
(concuss,1
"(forward,",2
(hood),1
(just,1
(last,1
(nurkic),1
(situation),1
(thigh),1
"(third),",1
",",7
--boston,1
--new,1
"1,057",2
"1,477",1
1.32,1
1.9,2
"10,",5
10-2,3
100).,1
100-63,1
100-77,1
103,4
106-104,2
109-106,1
10:48,1
10:55,1
10th-worst,1
11-0,3
11-7,1
11-for-14,1
11-of-26,1
11-point,2
11.4,2
110,5
110.,1
111-105,2
112-89,2
"113,",4
116-113,1
117.,1
118-88,1
119-108,1
119-96,1
12-20,2
12-member,1
"120,",2
121-114,2
124,2
124-123,2
"127,",1
12:15,1
13-14,1
13-3,1
13-for-25,1
13-point,5
13-time,2
13.7,1
130-120,1
131-130,2
134-132,1
"139,972",1
13:09,1
13th,2
13th-seed,2
13th.,1
14,119
14-1,1
14.,6
14.5,1
"148,",1
149-107,1
15-6,1
15-point,5
16-year,4
16.1,3
"17,",2
17-2,1
"17-59,",1
17-point,3
179th,1
18-12,1
18.4,1
180,2
19-point,3
19-year-old,1
19.2,1
1954-63.,1
1959,1
1968-69,1
1974-75,1
1980,1
1983-92.,1
1985-86,1
1987,2
1987.,3
1988-89,1
1994.,1
1998-99,1
1:01,1
1:36,1
2-3,2
2-for-16,1
2.0,2
2.7,3
20-14,2
20-footer,2
2001.,2
"2003-04),",1
2008,2
201,1
2010-15,1
"2011,",2
2015,9
2015.,7
"2018,",9
"20s,",1
20th,2
21,69
21-game,1
21.,4
22-year-old,3
23.8,1
"24,",1
24-9,1
24.6,2
25-12,1
25.4,1
254-186,1
27-14,1
270th,1
27th,3
28,52
28.,4
285,1
29-6,1
2:02,1
"2k19,",1
3,65
3-1,5
3-1.,2
3-15,1
3-for-11,1
3-for-3,1
3-pointers.,20
3.,12
3.5,3
"30,000-point",1
30-17,2
30.1,1
"31,",4
"31,424",1
31-18,1
32.4.,1
34-21,1
34-42,1
35,14
35-minut,1
36-30,1
360-degre,1
3:03,2
3:45,1
4-seed,1
4.3,1
40-27,1
40-34,1
41-31.,1
"41.21.1,",1
42,15
44-24,1
44.1,1
45-18,1
45-25,1
45-degre,1
45.6,1
46.4,1
49,3
49-25.,1
49.,1
"491,",1
4:11,1
4:25,1
4:32,1
4:53,1
5-of-10,1
5-on-4,1
5.1,1
5.8,2
50-23,1
50-point,12
502,1
509,2
51-24,1
51-27.,1
51.8,1
52-2,1
521st,1
53rd,1
54-51.,1
56,5
56-36,1
56-43,1
56.5,2
57-40.,2
58-38,1
58-52,1
5:05,1
5:26,1
"6,",5
6-2,1
6-32,1
6-foot-10,5
"6-foot-7,",1
6-of-8,1
6.6,3
60-47,1
60-54,2
61-55,1
61-all.,1
63,3
65-52,1
67-64.,1
68-55,1
6:20,1
6:55,1
7-0,3
7-foot-7,1
7.4,2
70,3
70-32.,1
70-36,1
72-52,1
75-58.,1
75-62,3
75-69,2
76-70,1
761,1
76er,25
"76ers,",3
76ers:,6
77,1
77-71,2
"78-43,",1
79-66,1
7:35,1
"8,400",1
8-128,1
8.2,3
8.9,1
80-53,1
84-71,1
86-73,1
"87,",1
9-3,1
90-77,1
91,2
97-77,1
97-94.,1
98,5
9:30,1
9th,2
A,116
A.,1
At,33
"D,",1
DO,1
GM,1
IN,7
Me,2
Of,2
So,19
a),1
"a.m.,",1
"about,",3
accomplished.,1
accur,2
"acts,",1
adams),1
add,8
address,4
adults.,1
adviser.,2
afar.,1
affect,7
afford,1
afro-american,1
afternoon.,2
"age,",2
"agility,",1
agreement.,1
ahm,2
ala.,2
alabama,14
"alarie,",1
alexand,4
all-america,3
all-around,3
all-mountain,2
"allen,",2
also,163
altern,1
altman,1
alvan,4
amar,2
americanairlin,2
amount,7
angl,1
"angle,",3
angri,1
anguish,1
ani,3
anim,17
ankle),3
"announcement,",1
annoy,2
annual,2
annually.,2
anoth,83
anthoni,15
applaus,1
appoint,1
approach.,1
apps:,4
april.,1
arena,22
arrest,2
"arrival,",1
arthroscop,2
"ask,",1
assert,1
"assistant,",2
"assists),",1
assists.,47
at&t,2
ate,1
athletic,1
athletic.,1
atkinson,9
"atlanta,",3
attorney',1
"auburn,",5
avid,1
avoidable.,1
aware.,1
"awesome,",1
awkwardli,2
ayala,1
b.j.,1
background,3
backstrom,1
bad,19
bad.,1
badli,3
"bagley,",1
bail,2
"ballhandling,",1
band,1
bandit,4
banish,1
bank,10
banker,1
bar,6
bar.,1
barber.,4
barren.,1
barrett.,1
baseball',1
baseball.,1
basketball',9
basketball.,10
"baskets,",1
battle.,1
batum,1
bauder,1
bay,4
baylor,25
be,10
be.,4
beard.,1
becam,44
becaus,12
becom,33
"before,",3
befriend,4
"bell,",2
belmont,5
belmont',1
belmont.,2
belong,3
below,1
"bender,",2
berman,1
bertan,1
best-sel,4
best-shoot,1
bet,15
better,54
"bid,",2
"bigs,",2
"bilas,",1
birthday,1
black,1
blaze,2
"bledsoe,",1
blew,2
block,42
blown,4
blowout.,1
bludgeon,1
blueblood,1
board,18
bois,1
bond,5
"book,",1
booker',2
booker.,4
bound,3
bowl,4
boy,8
boy.,2
braden,3
"brand,",1
braves.,1
bravest,1
break.,23
breakneck,2
brenda,2
brian,1
"briefly,",1
broadcasters.,1
bronz,1
"brooklyn,",8
brought,24
bruce,13
bryn,3
buchanan,5
buck,87
buckey,1
"bucks,",13
bucks:,13
"buffalo,",1
bug,1
bug.,1
bull,36
bull.,1
bulldog,6
"bulls,",9
bulls:,7
bump,3
bunch,5
bundl,4
bursitis),1
"bush,",1
buzz,2
buzzer,9
byrn,6
"byrne,",1
caboclo,7
caldwell-pop,9
"caleb,",1
called.,2
camera.,1
campaign,2
campion,1
campuses.,1
canada,1
candi,1
"candidates,",4
cap,18
capela',1
"captains,",1
career-best,6
career-low,2
"carter,",3
cartilag,2
cartoon,4
cauley,1
caus,13
cavaliers',2
cavaliers.,5
"cavs,",2
cb,2
ceil,2
celebration.,2
celtics',1
celtics.,5
centimeters).,1
chairman,2
challenge.,2
"chance,",1
chance:,2
"chances,",2
charg,20
chazel,4
chest.,1
chi,1
chicago,30
chip-on-the-should,1
"chooses,",1
"christian,",2
"christie,",1
chuma!,1
cincinnati.,2
circl,1
claim.,1
clark,11
clash,1
clearli,7
cleveland',4
cleveland).,1
cleveland.,6
"clifford,",1
"climb,",1
"clinching,",1
cling,3
clippers',5
clippers.,5
closest,2
clyde,2
co-champion,2
cofer',2
cofer.,1
cold,1
coliseum,1
collid,2
colson,1
combined.,2
come-from-behind,1
committee.,2
commodores',1
commodores.,1
comparison:,1
compensation.,1
"competitor,",1
complaint,3
"completely,",1
composur,1
conceded.,1
confetti,1
confid,15
confirmed.,1
conley,11
"connaughton,",1
consensu,1
consensual.,1
considerations.,1
consistency.,1
"contact,",1
contend,3
"contest,",1
contract,19
"contract,",2
controversy.,1
convent,1
"conversation,",1
"cooking,",1
"cool,",4
cooper,1
