$1.7,1
$10,2
"$105,000",1
$11.8,2
"$12,000",1
$14.9,1
$2.5,1
$200.,1
$24,1
$3,10
$32.1,2
$40.6,1
$43.7,1
"$5,000",1
$500,3
$6.4,1
$7.2,1
$7.9,1
"$750,000",1
'cooperating.',2
'he,1
'pen,1
"'well,",1
(.528).,1
(0-0),1
(1-6-5),1
(110),1
(12.2).,1
(12.9),1
(133,1
(14),6
(16,5
"(1972,",1
(2-3),1
"(20),",1
"(20-12),",1
(20-13),19
(2006-07),1
"(2009-18),",1
(2013-14),1
"(2014,",1
(21-12).,2
"(21-13),",2
(21-14),3
(21.5),1
(22-13).,2
(23,4
(24-10),4
(24-5-6),1
(24-9),6
(24-9).,3
(25-7),10
"(25-8),",6
(26-5),1
"(26-6),",4
(28),2
(28-8),1
"(28-9),",2
(29-6),31
(29-6).,3
"(29-7),",2
(3),6
(3.5),1
(30,1
(30-4),7
(30-4).,2
"(30-5),",5
(30-7-2),1
(31-2),3
"(31-3),",2
"(34),",1
(350,1
(49),1
(499-277).,1
(509),1
(6.4).,1
(65,1
(68).,2
(79,1
(8).,1
(86,1
(and,3
(assist,1
(auburn),2
(benford,1
"(conference),",1
(dure,1
(eight,2
(in,5
(isolation),1
"(monday),",3
(more,2
"(saturday),",1
"(sick),",1
(than,1
(the,13
(thumb).,1
(tnt),1
"(wanted),",1
(we),2
(were),1
(white',1
(you),1
--,53
--kentucki,1
--north,1
--virginia,1
--washington,1
-ralph,1
.,38
0-14,1
0-2,2
"1,000-win",1
"1,010,",1
"1,052",1
"1,500",3
"1,990",1
1-7,1
1-point,1
1.4,2
1.69,1
"10,650",1
10-0-2,1
10-3-3,1
10-4,3
10.,44
10.1,2
10.2.,1
10.25,2
"100,000.",1
"102,",1
107-102,1
10:15,1
10:50,3
10th-year,1
"11,324.",1
"11,548",1
11-2,9
11-21,1
11.6,1
110-61,2
111-97,1
113-106,1
11:23,1
11th-best,1
12-0,8
12-under,1
12.4,1
126-game,1
12:10,2
12:31,1
12th-seed,44
"13,",5
13-5,2
13.2,1
133,2
138th,1
13:39,1
13½,1
14),2
14-10,2
14-17,1
14-3,1
14-game,2
14.7,1
14:05,1
14:19,1
14:40,1
14th,17
15-1,2
15-11,1
15-18,1
15-8,2
15.5,3
15:06,1
15:41,1
16,596
16-12,2
16-47,3
16-pound,1
16-vs.-no.,1
16.3,1
168,1
16:49,1
16:56,1
"17-13,",1
17-4,2
17-of-56,1
17.,7
"17.5,",1
17.8,2
171).,2
172-67,2
175,2
17:50,1
18-14,2
