$1.36,2
$10,8
$101,3
$120.7,1
$122,1
$133.9,1
$148.7,1
$150,3
$171,1
$2.5,2
$207.1,1
$207m,1
$23.5,1
$24,12
$3,11
$3.3,2
$30.5,1
$31,2
$38,1
$4.2m,1
$4.328,1
$4.8,1
$40+,1
$45,3
$46.8,1
"$5,000",1
$500,5
$52,1
$6.4,2
$80,6
$850,1
$87,1
$88.8,1
$89.184,1
$94,2
$94.3,1
',1
''(clemson),1
''accord,1
''anytim,3
''bo,1
''can,1
"''certainly,''",1
''channel',1
''colleg,1
''come,5
''comeback,1
''consid,1
''credit,3
''florida,1
''free,1
''got,1
''gym.'',1
''hank',1
''he',32
''i'v,22
''integr,2
''jon,1
''josh,1
''let',6
"''maybe,",1
''minut,1
''no.,1
''nobodi,2
''not,5
"''oh,",4
''origin,1
''penn,1
''person,1
''pretti,4
''recov,1
''ronda,1
''safeti,1
"''smith-rivera,",1
''syracus,1
''that',54
''they,68
''theyr,1
''tonight,3
''trez,1
''twenty-six,1
"''unfortunately,",1
''wa,2
''we'll,6
''when,43
''whenev,1
''whi,1
''which,2
''whoever,1
''will,1
''wolf!,2
''ymca'',2
'07).,1
"'07-08,",1
"'08-09,",2
'10-11,1
"'10-11,",1
"'11-12,",1
'12-13,1
'13-14,1
'14-15,3
'15-16,2
"'17-18,",1
'18,2
'18-19,1
'21-22,1
'22-23,1
'50s.,1
'53,1
'60,1
"'bron,''",1
'don't,2
'f---,1
'go,1
'havoc',1
'he,1
"'lavar,",1
'no,2
"'overstated.' ultimately,",1
'uh-oh!,1
'we’r,1
'wisconsin.',1
"'wow,",1
($10,1
($2.5,2
($3.3,1
($80,1
(+1.4).,1
(-5.8,1
"(.305),",1
(.368),1
(.433,1
(.444).,1
(.543),1
(0.886).,1
(0.94),1
"(1,575,865)",1
"(1,580),",1
"(1,983). ",1
"(1.085),",1
"(1.1),",1
"(1.386),",1
(1.46),1
(1.48,1
(1.7).,1
(1.9),1
"(10,335)",2
"(10-16,",6
(10-2),2
"(10-8,",1
(10.1,1
(10.6),1
(10.8,1
"(101.7,",1
(101.8),1
(102.4).,1
(103.2).,1
"(103.3),",1
"(107.2,",1
(107.6,1
(11-0),3
