$10,1
$3,3
$500,2
"$68,000",2
$7.2,1
'cooperating.',1
(110),1
(12.2).,2
(12.9),2
(120.5),1
(14),2
(16,1
(20-13),3
"(2009-18),",1
(2013-14),1
(21-12).,2
(228.6-centimeters).,1
(23,2
(24-9),1
(24-9).,3
(25-7),1
"(25-8),",1
"(26-6),",2
(28),1
(28-8),1
"(28-9),",2
(29-6),10
"(29-7),",2
(3),2
(30-4).,1
"(30-5),",3
(31-45),2
"(37-37),",1
"(38-38),",1
(45-31),1
(46-25),1
"(46-25),",1
(49),1
"(6-8,",2
(65,2
(8).,1
(86,1
(and,2
(assist,2
(benford,1
"(conference),",1
(dure,1
(eight,2
"(foot),",1
"(groin),",1
(in,3
(regular,1
(the,3
(tnt),1
--,34
--washington,1
.,16
0-14,1
0-2,1
0-28,1
"1,010,",1
"1,500",2
"1,990",1
10-4,1
10.,15
100-percent,1
105,4
108-94,2
"11,324.",1
11-2,6
11-21,1
110-96,1
112,2
"116,",2
118-114,1
119-98,1
12-0,4
12-of-15,2
12.4,1
"123,",1
12:10,1
12th-seed,16
"13,",4
13-5,1
"130,",1
133,2
13½,1
14),2
14-17,1
14-year-old,3
14.7,1
148-144.,1
14th,10
15-1,1
15-18,1
15-8,1
15-year,1
15.5,3
16,292
16-12,1
16-47,2
16-vs.-no.,1
17.,5
17.1,1
17.8,1
171).,1
17:50,1
183-190,1
18th.,2
19-15,1
19.4,1
190-pound,1
1954,1
1980s.,3
"1986,",1
1989,3
1990-93,1
1990.,2
"1992-93,",1
"1993,",1
"1997-2018,",2
"1998-99,",1
1:03,1
1:45,3
"2,349",1
"2,440",1
2-16,1
2-5,3
2-of-9,1
"20,",1
20-16,1
20-game,1
"2000,",4
2003,2
"2007,",4
2010,1
2011.,6
2014).,1
"2014,",4
2017,16
2018.,5
"2021,",1
2024,1
2025.,1
21-3,2
21.0,1
215),1
22.5,2
23,71
23.3,1
24-10.,2
24-69,1
24.,1
25-2,2
25-21,2
"27,",1
27-16,1
28),1
"28-17,",1
28-24,2
28-28.,1
28th,1
29-year-old,1
2:25,1
2:39,2
2½,1
3),2
"3,268",1
3-3,1
3-for-5,1
3-point,112
3-seed,2
3.0,2
3.7,1
30,46
30-7.,1
30-point,3
31-27,4
"31-27,",2
31-4,1
31.,1
33-29,1
33.4,1
33rd,1
"34,",1
34-20.,1
34-30,1
35),2
35-year,1
35th,1
36.5,2
37,8
37.3,2
38-4,1
38.1,3
"39-21,",1
39.6,2
3:26,1
3:33,1
3:40,1
"3s,",9
3s:,2
4-1,3
4.5,1
40-0,2
40-plu,1
"41,",2
41-37,1
41.2,1
413,1
42-point,2
43-32,3
44,8
44-19,3
44-40,2
45.8,1
46-14,1
47-36,1
47-43,1
48-team,1
48.2,1
49-38,1
49-45,3
4:20,1
4:41,1
4:48,1
4:49.,1
4:55,1
5,55
5-0.,1
5-foot-11,2
5-for-17,1
50-footer,1
51,8
52-34,1
52-76,1
52.8,2
53-18.,2
53-25.,1
53-42,1
53.6,1
"55,",1
55.2,1
56th,1
57-53,2
58,6
59-41,1
59.,1
5:56,1
6-13,1
6-4,2
6-foot-7,7
6.,4
6.8,1
"62,",1
62-58,3
65,5
65-58.,3
65-61,1
66-59.,1
"66-62,",1
66.,1
67-56,1
