word,count
"<custom,FL>",4000

"<custom,answer>",1

"<custom,beat>",1

"<custom,cameron>",1

"<custom,carolina-duk>",1

"<custom,carri>",1

"<custom,chose>",1

"<custom,classic>",2

"<custom,conscienc>",1

"<custom,control;>",1

"<custom,conversation,>",2

"<custom,course.>",1

"<custom,day>",1

"<custom,detail>",1

"<custom,discuss>",1

"<custom,fan>",1

"<custom,feel>",2

"<custom,gave>",1

"<custom,hard>",2

"<custom,hill.>",1

"<custom,intimid>",1

"<custom,lack>",1

"<custom,marvel>",1

"<custom,moments,>",1

"<custom,report>",1

"<custom,seek>",1

"<custom,sit>",1

"<custom,sports.>",1

"<custom,sunday>",1

"<custom,tell>",1

"<custom,took>",1

"<custom,walk-on>",1

"<custom,watch>",1

"<custom,wrote>",1

"<favorit,$4.99/mo!>",2

"<favorit,''beautifully.''>",1

"<favorit,''that'>",1

"<favorit,''we'v>",2

"<favorit,'60>",1

"<favorit,'60s.>",1

"<favorit,(10.7>",1

"<favorit,(20-13)>",1

"<favorit,(26-9)>",1

"<favorit,(4,401).>",1

"<favorit,(51)>",2

"<favorit,(both>",2

"<favorit,(depaul>",1

"<favorit,(eric>",2

"<favorit,(green>",1

"<favorit,(harrison)>",8

"<favorit,(in>",2

"<favorit,(that>",1

"<favorit,(which>",3

"<favorit,1-0>",1

"<favorit,1.4>",2

"<favorit,10.>",1

"<favorit,11-1>",1

"<favorit,117.2.>",1

"<favorit,117.9>",1

"<favorit,14>",5

"<favorit,17-3>",1

"<favorit,17-point>",2

"<favorit,17th>",1

"<favorit,18.5>",1

"<favorit,1940,>",1

"<favorit,1941).>",1

"<favorit,1975,>",1

"<favorit,1981>",2

"<favorit,1982,>",1

"<favorit,1989,>",1

"<favorit,1995>",2

"<favorit,1998-99>",1

"<favorit,1:02>",1

"<favorit,1>",11

"<favorit,1s>",1

"<favorit,2.13>",1

"<favorit,2.9>",1

"<favorit,20-year>",1

"<favorit,20.1>",1

"<favorit,2002>",1

"<favorit,2003,>",1

"<favorit,2003:>",1

"<favorit,2005-09,>",2

"<favorit,2009>",1

"<favorit,2010:>",1

"<favorit,21-point>",1

"<favorit,21>",2

"<favorit,24.>",1

"<favorit,245>",1

"<favorit,27,>",1

"<favorit,28>",2

"<favorit,31.>",1

"<favorit,34%>",1

"<favorit,35>",1

"<favorit,38-29>",1

"<favorit,4-1>",4

"<favorit,4.5>",2

"<favorit,49>",1

"<favorit,53.5>",1

"<favorit,56>",4

"<favorit,6'8>",1

"<favorit,6-4>",2

"<favorit,6-for-25>",1

"<favorit,6.8>",2

"<favorit,61-59>",1

"<favorit,62-60>",1

"<favorit,63>",1

"<favorit,67.5>",1

"<favorit,77>",1

"<favorit,78-76>",1

"<favorit,8.4>",1

"<favorit,8/1>",1

"<favorit,8>",3

"<favorit,9.2>",1

"<favorit,92-year-old>",1

"<favorit,Am>",3

"<favorit,At>",7

"<favorit,GM>",4

"<favorit,Of>",3

"<favorit,So>",12

"<favorit,[former]>",1

"<favorit,abl>",6

"<favorit,aboard>",2

"<favorit,absentia>",1

"<favorit,access>",2

"<favorit,accomplish.>",4

"<favorit,acl.>",1

"<favorit,administrators,>",1

"<favorit,admir>",1

"<favorit,adolph>",1

"<favorit,afraid>",1

"<favorit,after>",17

"<favorit,afternoon>",2

"<favorit,against,>",1

"<favorit,akron,>",2

"<favorit,alabama>",5

"<favorit,alford>",1

"<favorit,all-defens>",2

"<favorit,all-glu>",7

"<favorit,alli>",1

"<favorit,alltim>",2

"<favorit,alon>",1

"<favorit,along>",7

"<favorit,alterc>",1

"<favorit,america,>",2

"<favorit,amida>",1

"<favorit,anchormen>",1

"<favorit,and>",53

"<favorit,andreas,>",2

"<favorit,anniversary,>",1

"<favorit,announc>",3
