word,count
"<coach,$24>",3

"<coach,$433,748.>",4

"<coach,$52>",1

"<coach,'equal>",7

"<coach,(1,392).>",1

"<coach,(16>",1

"<coach,(18)>",2

"<coach,(20-16)>",2

"<coach,(2009-18),>",5

"<coach,(2014-18)>",5

"<coach,(23>",2

"<coach,(25-9),>",4

"<coach,(28).>",2

"<coach,(29),>",2

"<coach,(29-5)>",1

"<coach,(30-4),>",2

"<coach,(31,419>",1

"<coach,(33-4)>",5

"<coach,(34.6>",2

"<coach,(35-39)>",4

"<coach,(431)>",6

"<coach,(44-27)>",2

"<coach,(53)>",1

"<coach,(57-19)>",2

"<coach,(65>",5

"<coach,(86>",9

"<coach,(he's)>",1

"<coach,(in>",4

"<coach,(mcconnell)>",2

"<coach,(presum>",1

"<coach,(report>",7

"<coach,--boston>",1

"<coach,--byu>",5

"<coach,1,000>",10

"<coach,1,700>",2

"<coach,1-7>",3

"<coach,1.32>",1

"<coach,1.4>",1

"<coach,10-2>",6

"<coach,10.>",28

"<coach,105-102,>",6

"<coach,106-103.>",3

"<coach,106-104>",3

"<coach,107-102,>",4

"<coach,108-94>",2

"<coach,109-106>",1

"<coach,11-0>",6

"<coach,11-7>",4

"<coach,11.4>",1

"<coach,110-96>",2

"<coach,111-105>",2

"<coach,111-110,>",3

"<coach,111-97>",1

"<coach,117.>",5

"<coach,119-98>",2

"<coach,11:06>",1

"<coach,11:55>",2

"<coach,11>",255

"<coach,11th-seed>",2

"<coach,121-114>",1

"<coach,124-123>",3

"<coach,126-118>",2

"<coach,126-91>",2

"<coach,13,>",2

"<coach,13-3>",2

"<coach,13-point>",12

"<coach,13.7>",5

"<coach,132-108>",2

"<coach,133-132>",1

"<coach,133>",4

"<coach,137-116>",1

"<coach,13th>",10

"<coach,14-1>",2

"<coach,14.5>",1

"<coach,15-15>",3

"<coach,15-6>",4

"<coach,15:31>",4

"<coach,16,000-seat>",2

"<coach,16-for-30>",2

"<coach,16.1>",7

"<coach,16th-seed>",2

"<coach,17.>",16

"<coach,175>",6

"<coach,183-190>",5

"<coach,18>",134

"<coach,19.2>",1

"<coach,1959>",5

"<coach,1980>",2

"<coach,1987>",3

"<coach,1990-93>",4

"<coach,1992,>",3

"<coach,1:01>",2

"<coach,1:36>",2

"<coach,1>",207

"<coach,2-5>",3

"<coach,2.>",2

"<coach,20,>",4

"<coach,20-20>",2

"<coach,20-footer>",2

"<coach,2003.>",8

"<coach,2005-09.>",1

"<coach,2008-12.>",2

"<coach,2008>",5

"<coach,2010.>",1

"<coach,2013,>",7

"<coach,2013-14,>",6

"<coach,2014).>",10

"<coach,2014)>",1

"<coach,2015>",26

"<coach,2016-17,>",4

"<coach,2017.>",9

"<coach,2019-2020.>",1

"<coach,2020,>",2

"<coach,20th>",8

"<coach,22-win>",7

"<coach,23.8>",3

"<coach,24-9>",3

"<coach,24.6>",6

"<coach,245>",2

"<coach,25.4>",1

"<coach,25>",107

"<coach,27-footer.>",4

"<coach,27th>",5

"<coach,2:02>",2

"<coach,2½>",12

"<coach,3-1.>",4

"<coach,3-15>",5

"<coach,3-3>",3

"<coach,3-for-16>",2

"<coach,3.0>",1

"<coach,3.7>",1

"<coach,30.1>",3

"<coach,31-point>",1

"<coach,32>",37

"<coach,34,>",1

"<coach,34-20>",1

"<coach,35)>",2

"<coach,35-year>",3

"<coach,39-25>",1

"<coach,39-39>",2

"<coach,39>",17

"<coach,3:03>",2

"<coach,3:08,>",2

"<coach,3:45>",7

"<coach,3s,>",12

"<coach,3s:>",2

"<coach,4-1>",9

"<coach,4-8>",3

"<coach,4.5>",4

"<coach,40-year-old>",2

"<coach,41,>",4

"<coach,41-20>",3

"<coach,413>",2

"<coach,42-35>",5

"<coach,45.6>",3

"<coach,46-26.>",3

"<coach,46>",10

"<coach,48-48>",3

"<coach,49-35>",2

"<coach,490>",4

"<coach,491,>",4

"<coach,4:11>",1

"<coach,4:25>",2

"<coach,4:32>",2

"<coach,4:53>",2

"<coach,5,>",2

"<coach,5-of-16>",3

"<coach,50-29>",1

"<coach,50-point>",11

