word,count
"<coach,$1.5>",5

"<coach,$1.68>",1

"<coach,$105,000>",4

"<coach,$10>",1

"<coach,$12,000>",9

"<coach,$200,000-a-month>",1

"<coach,$24>",3

"<coach,$280,300>",1

"<coach,$3,800>",14

"<coach,$5>",7

"<coach,$7.46>",1

"<coach,$9.3>",14

"<coach,'attacking'>",12

"<coach,'dad,>",2

"<coach,'surviv>",2

"<coach,'thi>",1

"<coach,'well,>",4

"<coach,(1,052)>",6

"<coach,(1,787)>",2

"<coach,(11)>",36

"<coach,(13.6>",11

"<coach,(14-0)>",1

"<coach,(14.4)>",4

"<coach,(15.4).>",1

"<coach,(16.0>",1

"<coach,(16>",23

"<coach,(19-15)>",10

"<coach,(1986)>",4

"<coach,(2,076)>",3

"<coach,(20-13).>",7

"<coach,(20-14),>",10

"<coach,(20-16)>",5

"<coach,(2002-06)>",7

"<coach,(2009-18),>",5

"<coach,(2010-14).>",2

"<coach,(2014-18)>",5

"<coach,(21-10)>",19

"<coach,(21-12).>",3

"<coach,(21-13),>",8

"<coach,(21.0),>",4

"<coach,(22-11)>",18

"<coach,(22-13).>",4

"<coach,(23-12)>",37

"<coach,(23>",13

"<coach,(24-8)>",49

"<coach,(25-8).>",8

"<coach,(25-9),>",32

"<coach,(26-7),>",1

"<coach,(27-9)>",4

"<coach,(28-7)>",9

"<coach,(29),>",2

"<coach,(29-5)>",22

"<coach,(3)>",60

"<coach,(30-3).>",5

"<coach,(30-3)>",26

"<coach,(30-4),>",3

"<coach,(30>",1

"<coach,(31-1)>",7

"<coach,(32-6)>",2

"<coach,(33-4).>",4

"<coach,(33-4)>",2

"<coach,(34-2)>",6

"<coach,(431)>",6

"<coach,(60-29),>",3

"<coach,(65>",3

"<coach,(67)>",2

"<coach,(8.9>",2

"<coach,(86>",9

"<coach,(a>",5

"<coach,(as)>",2

"<coach,(benford>",5

"<coach,(but)>",3

"<coach,(cbs)>",44

"<coach,(eight>",5

"<coach,(he)>",1

"<coach,(hudson)>",4

"<coach,(in>",8

"<coach,(irvine's)>",6

"<coach,(kentucky’>",14

"<coach,(krzyzewski>",2

"<coach,(report),>",2

"<coach,(selection)>",7

"<coach,(she>",2

"<coach,(them>",4

"<coach,(were)>",1

"<coach,(william>",59

"<coach,--boston>",1

"<coach,--byu>",3

"<coach,--south>",15

"<coach,-6>",10

"<coach,...the>",5

"<coach,0-103>",5

"<coach,0-2>",6

"<coach,0.0,>",2

"<coach,1,000>",38

"<coach,1,007>",3

"<coach,1,010,>",3

"<coach,1,098>",5

"<coach,1,175>",4

"<coach,1-1,>",5

"<coach,1-7>",2

"<coach,1-for-7>",2

"<coach,1.4>",4

"<coach,10,650>",8

"<coach,10-2>",27

"<coach,10-3-3>",1

"<coach,10-of-13>",3

"<coach,10.>",81

"<coach,102nd>",9

"<coach,105-102,>",3

"<coach,10:05>",8

"<coach,10:19>",1

"<coach,10:40>",12

"<coach,11,534,>",3

"<coach,11,548>",4

"<coach,11-0>",22

"<coach,11-7>",4

"<coach,11-month>",1

"<coach,11-seed>",2

"<coach,11.4>",3

"<coach,110-61>",10

"<coach,111-105>",2

"<coach,111-97>",1

"<coach,11:06>",1

"<coach,11:20>",12

"<coach,11:34>",1

"<coach,11:55>",3

"<coach,11>",860

"<coach,11th-seed>",131

"<coach,12-5>",12

"<coach,12-foot>",4

"<coach,12-for-21>",2

"<coach,12-of-16>",7

"<coach,12.2>",3

"<coach,12.9>",2

"<coach,124-123>",1

"<coach,12:07>",1

"<coach,12:14>",1

"<coach,12:35>",10

"<coach,13,>",19

"<coach,13-3>",15

"<coach,13-point>",22

"<coach,13-seed>",8

"<coach,13.7>",11

"<coach,133>",2

"<coach,13:29>",2

"<coach,13th>",50

"<coach,14)>",4

"<coach,14-1>",1

"<coach,14.5>",4

"<coach,14:23>",3

"<coach,15-15>",3

"<coach,15-6>",4

"<coach,15-seed>",7

"<coach,16,000-seat>",3

"<coach,16-for-30>",2

"<coach,16-vs-1>",14

"<coach,16-vs.-no.>",12

"<coach,16.1>",3

"<coach,168>",3

"<coach,16:11>",1

"<coach,16th-seed>",37

"<coach,17-13,>",12

"<coach,17-2>",8

"<coach,17.6>",2

"<coach,17.>",20

"<coach,172-67>",10

"<coach,175>",11

"<coach,18-0>",10

"<coach,183-190>",5

"<coach,18:06>",2

"<coach,18>",466

"<coach,19-12>",1

"<coach,19-5>",2

"<coach,1912.>",3

"<coach,1959>",5

"<coach,1980>",7

"<coach,1982.>",15

"<coach,1985,>",7

"<coach,1987>",3

"<coach,1989.>",13

"<coach,1990-93>",4

"<coach,1992,>",5

"<coach,1994>",14

"<coach,1996.>",2

"<coach,1997-2018,>",2

"<coach,1999,>",9

"<coach,1:01>",7

"<coach,1:15>",5

"<coach,1:22>",2

"<coach,1:36>",2

"<coach,1:43>",2

"<coach,1:50>",2

"<coach,1>",1065

"<coach,1_perfect>",1

"<coach,2-5>",5

"<coach,2-and-1>",2

"<coach,2-of-10>",2

"<coach,2-of-9>",6

"<coach,2.9>",3

"<coach,2.>",43

"<coach,20,>",27

"<coach,20-13.>",1

"<coach,2001>",10

"<coach,2002-06>",15

"<coach,2002-13.>",3

"<coach,2002-13>",2

"<coach,2003.>",34

"<coach,2006,>",25

"<coach,2006:>",1

"<coach,2008>",25

"<coach,2010.>",12

"<coach,2011-12,>",12

"<coach,2012-13,>",3

"<coach,2013,>",40

"<coach,2013:>",1

"<coach,2014).>",10

"<coach,2014-18>",1

"<coach,2014-2018:>",1

"<coach,2015>",98

"<coach,2017.>",63

"<coach,2019-2020.>",1

"<coach,2024.>",2

"<coach,20th>",12

"<coach,21.5>",5

"<coach,22-15>",4

"<coach,22-16.>",3

"<coach,22-22>",3

"<coach,22-win>",9

"<coach,23-4>",2

"<coach,23.8>",6

"<coach,24-10>",3

"<coach,24-9>",3

"<coach,24.6>",12

"<coach,24.>",13

"<coach,25-0>",2

"<coach,25.4>",2

"<coach,251st>",6

"<coach,25>",389

"<coach,264.>",3

"<coach,27,>",2

"<coach,27-3>",2

"<coach,27th>",8

"<coach,28)>",9

"<coach,2:02>",3

"<coach,2:09>",3

"<coach,2:37>",2

"<coach,2:44>",2

"<coach,2½>",4

"<coach,3-15>",5

"<coach,3-3>",8

"<coach,3-for-16>",2

"<coach,3-on-3.>",1

"<coach,3-or-noth>",2

"<coach,3.7>",1

"<coach,30-16>",13

"<coach,30-2,>",4

"<coach,30-23>",2

"<coach,30.1>",3

"<coach,31-14,>",8

"<coach,31-17>",3

"<coach,31-2>",6

"<coach,31-point>",4

"<coach,31.>",6

"<coach,32>",160

"<coach,33-19>",6

"<coach,33-33>",4

"<coach,34,>",8

"<coach,35)>",2

"<coach,35-year>",3

"<coach,36.3>",3

"<coach,369-200>",7

"<coach,37-31.>",4

"<coach,37.1>",3

"<coach,37.8>",2

"<coach,38-25.>",4

"<coach,38.6>",4

"<coach,38.>",5

"<coach,39-25>",2

"<coach,39-39>",2

"<coach,39.4>",2

"<coach,39>",18

"<coach,3:24>",2

"<coach,3:31>",2

"<coach,3:45>",7

"<coach,3:59>",2

"<coach,3s,>",28

"<coach,3s:>",2

"<coach,4-1>",10

"<coach,4-2,>",5

"<coach,4-8>",3

"<coach,4.5>",2

"<coach,40-23,>",4

"<coach,40-26>",3

"<coach,40-27.>",21

"<coach,40-33>",4

"<coach,40-year-old>",4

"<coach,41,>",3

"<coach,41-34>",18

"<coach,41-38,>",2

"<coach,42-35>",13

"<coach,43-22>",1

"<coach,43-33,>",4

"<coach,43.3>",2

"<coach,44.8>",1

"<coach,444-328>",15

"<coach,45-42,>",2

"<coach,45.6>",5

"<coach,46-26.>",3

"<coach,46>",12

"<coach,47-12>",2

"<coach,47-44,>",2

"<coach,48-24,>",4

"<coach,48-41>",2

"<coach,48-48>",3

"<coach,49-28>",2

"<coach,49-35>",2

"<coach,49-year-old>",12

"<coach,4:11>",3

"<coach,4:25>",2

"<coach,4:53>",4

"<coach,5,299>",4

"<coach,5,>",11

"<coach,5-10>",1

"<coach,5-foot-10>",6

"<coach,5-foot-11.>",6

"<coach,5-foot-9>",2

"<coach,5-of-16>",3

"<coach,5-on-5>",1

"<coach,5.3>",4

"<coach,50-point>",2

"<coach,504>",13

"<coach,51-44>",1

"<coach,52-24>",2

"<coach,52-26.>",3

"<coach,52.>",2

"<coach,53>",44

"<coach,55-48>",1

"<coach,55th>",2

"<coach,57-1.>",5

"<coach,57-55,>",2

"<coach,57-57>",6

"<coach,58-51>",3

"<coach,58.8>",7

"<coach,5:05>",4

