word,count
$1.116,1
$24,1
$3,1
$3.87,1
$45,1
$500,1
$52,1
"$68,000",2
''danc,1
'candi,1
'equal,1
(110),1
(12.2).,1
(12.9),1
(120.5),1
"(13),",2
(14),2
(16,1
(20-13),4
"(2009-18),",1
(2013-14),1
(228.6-centimeters).,1
(23,1
(24-10),1
(28),1
"(28-9),",1
(29-6),6
(3.5),1
(30-4),1
"(30-5),",1
(31-45),2
(36-36),1
"(37-37),",1
"(38-38),",1
(45-31),1
(46-25),1
"(46-25),",1
(5,1
(54-19),1
"(6-8,",2
(6.4).,1
(65,2
(86,1
(assist,2
(doncic),1
(dure,1
"(foot),",1
"(groin),",1
(he's),1
(in,2
(isolation),1
(popovich),1
(regular,1
(some,1
(than,1
(the,2
"(three),",2
(thumb).,1
--,23
--washington,1
-ralph,1
.,23
0-14,1
0-28,1
"1,500",2
1-7,2
1.4,1
1/2-game,1
10-4,2
10.,16
"100,000.",1
100-percent,1
105,8
106-103.,1
107-102,3
"107-102,",1
108-105,1
"108-105,",1
108-94,2
10:22,1
10th-year,1
"11,324.",1
11-2,5
11-21,1
11.6,2
110-96,1
111-97,1
112,3
112-103,1
113-106,1
115-109.,1
115-112,1
"116,",7
116-101,1
118-114,1
119,2
119-98,1
11:02,1
12-0,3
12-of-15,2
"12-point,",1
"123,",4
126-91,2
127-127,1
12th-seed,9
"13,",1
13-5,1
13.2,1
"130,",1
132-100,1
133,2
"137,",2
13½,1
14-3,1
14-year-old,4
148-144.,1
14th,6
15-18,1
15-year,1
15.5,4
16,163
16-12,1
16-47,2
16.3,1
17.,9
17.1,1
17.8,2
171).,1
175,1
183-190,1
19-0,2
190-pound,1
190.,1
1954,1
1980s.,4
"1986,",1
1989,4
1990-93,1
1990.,2
"1992-93,",1
"1993,",1
"1998-99,",1
1:45,1
"2,440",1
2-16,1
2-5,3
"20,",4
20-game,1
"2000,",2
2003,2
"2007,",4
2010,1
2011.,2
2014).,1
"2014,",2
2014-15).,1
2017,17
2018.,7
"2021,",1
2024,1
21-3,2
21.0,1
215),1
22-1,1
22.5,1
23,75
238,1
24-48,1
24.,1
245,1
"27),",1
"28-17,",1
28th,2
29-8,1
29-year-old,1
29.5,1
2½,3
3-3,1
3-point,105
3-pointer?,1
3.0,2
3.7,2
30,43
30-7.,1
30-point,4
30.3,1
31-27,2
31-4,1
31.,2
33.4,1
"34,",1
34-20.,1
34-30,1
35),1
35-year,1
35th,1
36.5,1
37,13
37-year-old,1
37.3,1
38.1,1
"39-21,",1
