$11.4,1
$147.5,1
$2.8,1
$20.7,1
"$200,000-a-month",1
$216,4
"$25,000",1
"$273,500",3
"$282,100",2
"$293,000",1
$316.3,1
$340.4,2
$35.5,1
"$50,",1
"$500,000",1
$6,1
$6.7,1
"$837,000",2
$9.1,2
$9.12,1
"$900,000",2
'I,4
'back,1
'blue,1
'dear,1
'oh,1
'that',1
'we,1
'we'v,1
'who,1
(.208),2
(0-1),1
(118.8,1
(12,2
(12th).,1
(139),1
(15),4
(157,1
(174),1
"(18),",1
"(18-15),",1
(19,4
(19-13),2
"(19-16),",1
"(1987,",1
(20-14),17
(2009),2
"(2015,",1
"(2017-18),",1
"(21-11),",2
"(21-7),",1
(22-11).,1
(22-7),2
(23-,1
(23-10),14
(23-12).,3
"(23-13),",1
(23-9).,2
(24).,1
(24-11),2
"(24-8),",2
(24.4,1
(25-12),3
"(25-6),",1
(25-8),11
"(26-10),",4
(26-6),6
(27-4),1
"(27-9),",2
(28-6).,3
"(28-7),",5
(28-9),5
(29-4).,1
"(29-5),",2
(29-7),9
"(30-3),",6
(30-5),10
"(31-1),",2
(31-3),18
(32-1),1
"(33-4),",2
(34-1).,2
"(34-2),",2
(34.5,2
(35-2),4
(36-30),1
(37-38),1
(4),6
(43.4),1
"(457),",3
"(67),",1
"(7.8),",1
(8,2
(85.8).,1
(89,1
(990,1
(adam,2
(american,1
(ap),2
(arizona),2
(at,3
(becaus,1
(behind),1
(bit,1
(clark),1
(coach,1
(diakite),1
(foot),2
(groin),1
(it's),1
(kabengele),1
(kentucky’,1
(knee,1
(la,1
(nine,1
(no.,33
(nytopinion),1
(of,1
(pritchard),1
"(report),",1
(selection),1
(speech,1
(stith,1
(that),1
"(them),",1
(though,2
(tnt);,1
--golden,1
--ucla,1
-7,1
-joe,1
....,4
0-5,2
0-for-12,1
0-for-9,1
0.9,2
1,326
"1-,",1
1-for-19,1
1-for-8,1
1-on-1,1
1-rank,1
1.7,8
10-0,18
"10-2,",1
10-for-17,1
10-of-25,1
101,2
102-63,3
108th,1
10:25,4
10:53,1
"11,874,",1
11-10,1
11-inch,1
11.,17
11.2,1
11.9,2
115-101,1
11:05,2
11:19,1
11:40,1
12,470
12-2.,1
12-3,2
12-for-21,1
12-rebound,2
12-seed,2
12.0,1
12.7,3
120-0,1
129-115,1
12:20,2
12:27,1
12th,24
13-1,1
13-12,1
13-19,1
13-7.,1
13-for-16,1
13.5,3
13.6-point,1
136,1
136th,1
13:35,1
13:56,1
"14,",6
14-6,1
14-time,1
14:15,3
14:50,1
14th-seed,15
15),4
15-14,1
15-3.,1
15-4,6
15.1,3
150,3
15:23,1
15:51,1
"16,300",1
16-15,1
16-2,7
16-game,2
163-133,1
169-102,1
17-0,2
17-16,2
17-7,2
17-year,1
17.4,2
171,1
171-95.,1
179th.,1
18-10,1
18-17,1
18-5,1
18-inch,1
18.,8
18.9,2
18_steal,1
19,172
19-18,2
19-9.,1
19.7,4
"1931,",1
"1945,",1
1950,1
1950s.,1
1963.,1
"1966,",1
1970.,2
1976-1980.,1
"1980,",6
1980s?,1
1984.,9
1985,4
"1987,",2
1991.,5
1992,3
"1994,",3
1998.,3
1999,2
19th,2
1:34,1
1:41,2
1s:,1
"2,081.",1
"2,149",1
"2,205",1
2-0.,1
2-1,2
2-8,1
2-for-9,2
2-up,1
2.03,1
2.45,1
2.5,5
20-14.,1
20-8,2
"20-point,",1
20.5,2
"2001,",2
2001:,1
2005.,7
2006,10
"2008,",4
2008-11,1
2012-2017.,3
2012.,24
2013,14
"2013-16,",1
"2015,",19
2019.,6
2020,8
"21,",1
21-13,1
21-6,1
21-point,3
21.3,2
22),1
22-16.,1
22-21,2
22-win,2
22.1,1
220,1
23-15,1
23-point,2
23-team,1
24-16,3
24-23,1
24.4,2
24/7.,1
247sport,1
